sample_order,basename,text,model,path,sample_rate,duration_seconds,sha256
20,LJ005-0101,whence it deduced the practice and condition of every prison that replied.,Ground Truth,ground_truth/LJ005-0101.wav,22050,4.244762,2c0a940771e471af48954543f3c5221273a9796d40ba8df7772d69d993a9211e
20,LJ005-0101,whence it deduced the practice and condition of every prison that replied.,NanoVoco,nanovoco/LJ005-0101.wav,22050,4.237642,6e582f8085a8a83165435c3d73fc310375691ce65f846157d12d8b5dacb302a1
20,LJ005-0101,whence it deduced the practice and condition of every prison that replied.,HiFi-GAN V2,hifigan_v2/LJ005-0101.wav,22050,4.237642,bb6aa09d32d4e7d48c7cccff08d4635f9d4590a67e380fc0b02284751389ba2d
20,LJ005-0101,whence it deduced the practice and condition of every prison that replied.,HiFi-GAN V1,hifigan_v1/LJ005-0101.wav,22050,4.237642,c02c6e240ed89cc9bb707234b4f67798b2a24d85d56521b0664236760ba95437
20,LJ005-0101,whence it deduced the practice and condition of every prison that replied.,Parallel WaveGAN,parallel_wavegan/LJ005-0101.wav,22050,4.249252,6b671342dcea46420164c8dc0f798fe1a121d83b85f9c9eca94b78c028b33ac4
20,LJ005-0101,whence it deduced the practice and condition of every prison that replied.,FreGrad,fregrad/LJ005-0101.wav,22050,4.237642,5ab3317d46e62711b591e8aa72c171327e6f6a6b176b39db277902ba7bea1c75
20,LJ005-0101,whence it deduced the practice and condition of every prison that replied.,RNDVoC,rndvoc/LJ005-0101.wav,22050,4.237642,ef00bf842a8dd2785852db07d984c3a44f94d17c794ccb9676aca24b8b8225ea
20,LJ005-0101,whence it deduced the practice and condition of every prison that replied.,MelGAN,melgan/LJ005-0101.wav,22050,4.237642,63faf5f027f2a72eef0fc70cf7e61ef538d0ecaf8234a1007c91673ba418ce65
20,LJ005-0101,whence it deduced the practice and condition of every prison that replied.,BigVGAN-base,bigvgan_base/LJ005-0101.wav,22050,4.237642,8d1c0edcccff45c033cb9eb6b260288be09c72479eaacaf657636a5b28902291
32,LJ008-0131,the other he kept between his hands.,Ground Truth,ground_truth/LJ008-0131.wav,22050,2.340726,763201848433a70c778a2c2a5b16b50a8e2d0351ea112a1ead3e2407e5a7c417
32,LJ008-0131,the other he kept between his hands.,NanoVoco,nanovoco/LJ008-0131.wav,22050,2.333605,993c95846626ac54953897056fbf7b1fb7c581d7d100a01b2b75b2805ce7f242
32,LJ008-0131,the other he kept between his hands.,HiFi-GAN V2,hifigan_v2/LJ008-0131.wav,22050,2.333605,1ea2ce1f005e6339f2e1b60fd2a848f3cd080e1db37ef42028c8d71e38804526
32,LJ008-0131,the other he kept between his hands.,HiFi-GAN V1,hifigan_v1/LJ008-0131.wav,22050,2.333605,6cfa2ba6118deca6078ea3f54617ef7d1bb26a6a38b9f4129de35a80f94635a0
32,LJ008-0131,the other he kept between his hands.,Parallel WaveGAN,parallel_wavegan/LJ008-0131.wav,22050,2.345215,87c51521d311cca6050c696e9c601577e4aa789be4eb0d640d683fbdff3cbde3
32,LJ008-0131,the other he kept between his hands.,FreGrad,fregrad/LJ008-0131.wav,22050,2.333605,5735713ad7849ad3efcfe180916f700d084065d4cc394ff444a40d9d5e707d2f
32,LJ008-0131,the other he kept between his hands.,RNDVoC,rndvoc/LJ008-0131.wav,22050,2.333605,7c70233b6a3e947a91cc3c71336f510a342f2d24675b200c347fb9bdd4174c17
32,LJ008-0131,the other he kept between his hands.,MelGAN,melgan/LJ008-0131.wav,22050,2.333605,a78b515adef3983704992a36c814bf04c56762122d974f94043d9cd0f37e21bf
32,LJ008-0131,the other he kept between his hands.,BigVGAN-base,bigvgan_base/LJ008-0131.wav,22050,2.333605,e5b566155a399b1990bc2966c2686dc15da2f653e14f9b63345b89ab705daace
49,LJ013-0020,he acted in a manner which excited the suspicions of the crew.,Ground Truth,ground_truth/LJ013-0020.wav,22050,3.664263,da6ab5f201d44ebd7cc9dd1ce8b7876ee5275b7420cfe24a4c82a5234030d96d
49,LJ013-0020,he acted in a manner which excited the suspicions of the crew.,NanoVoco,nanovoco/LJ013-0020.wav,22050,3.657143,fa4bdb55d4d7d6baaf9f39a9ee8505597c9e2a61fd56c371b77dba398446b4ae
49,LJ013-0020,he acted in a manner which excited the suspicions of the crew.,HiFi-GAN V2,hifigan_v2/LJ013-0020.wav,22050,3.657143,cfc8d1a92da24c0b43fd6968b9ad5b62da871ac65fa0c28e57809f9d1db84e39
49,LJ013-0020,he acted in a manner which excited the suspicions of the crew.,HiFi-GAN V1,hifigan_v1/LJ013-0020.wav,22050,3.657143,4bd7582222055a8616c517776ea90627c1fcdfe7a1c7f9bc18b62b3881b0a255
49,LJ013-0020,he acted in a manner which excited the suspicions of the crew.,Parallel WaveGAN,parallel_wavegan/LJ013-0020.wav,22050,3.668753,6613a8545d158ef6521c70e4e4f7cddfdf85789fb1f403484540d3778eb31f8b
49,LJ013-0020,he acted in a manner which excited the suspicions of the crew.,FreGrad,fregrad/LJ013-0020.wav,22050,3.657143,b56a504d79d214e3c364bd83960c37e61126dd96a643733ee89b13c98961cbca
49,LJ013-0020,he acted in a manner which excited the suspicions of the crew.,RNDVoC,rndvoc/LJ013-0020.wav,22050,3.657143,b028e1d3255ed029b78bcb4fb1c946039b45307f476612a7565b45d9b46576a1
49,LJ013-0020,he acted in a manner which excited the suspicions of the crew.,MelGAN,melgan/LJ013-0020.wav,22050,3.657143,79cfd030689ef817454ff5f805238e2290f273601aa306cf75c397da4ac1d22b
